Assembly_ID	Species_Name
GCF_010015735.1	Aaosphaeria arxii
GCA_022813625.1	Aaosphaeria pasadenensis
GCA_035048815.1	Abelmoschus esculentus
GCA_002812265.1	Abeoforma whisleri
GCA_022606235.1	Abortiporus biennis
GCA_022829085.1	Abramis brama
GCA_905340225.1	Abrostola tripartita
GCA_946251915.1	Abrostola triplasia
GCF_003935025.1	Abrus precatorius
GCA_024086825.1	Abrus pulchellus
GCA_030710515.1	Abscondita cerata
GCA_900079185.1	Absidia glauca
GCA_019677225.1	Absidia healeyae
GCA_002105175.1	Absidia repens
GCA_019677255.1	Absidia sp. UoMAU379
GCA_019022655.1	Acacia acuminata
GCA_037177275.1	Acacia concinna
GCA_037074495.1	Acacia confusa
GCA_034222035.1	Acacia crassicarpa
GCA_019022615.1	Acacia melanoxylon
GCA_025563575.1	Acacia pycnantha
GCA_948193465.1	Acalypha hispida
GCA_034766995.1	Acanthacorydalis orientalis
GCF_000313135.1	Acanthamoeba castellanii
GCA_002025285.1	Acanthamoeba comandoni
GCA_000826265.1	Acanthamoeba culbertsoni
GCA_000826405.1	Acanthamoeba divionensis
GCA_000826305.1	Acanthamoeba healyi
GCA_002179805.1	Acanthamoeba lenticulata
GCA_000826425.1	Acanthamoeba lugdunensis
GCA_000826465.1	Acanthamoeba mauritaniensis
GCA_000826505.1	Acanthamoeba pearcei
GCA_001567625.1	Acanthamoeba polyphaga
GCA_000826445.1	Acanthamoeba quina
GCA_000826385.1	Acanthamoeba rhysodes
GCA_000826365.1	Acanthamoeba royreba
GCA_027943245.1	Acanthamoeba sp. SK_2022b
GCA_027944975.1	Acanthamoeba sp. SK_2022c
GCA_902749335.1	Acanthamoeba triangularis
GCF_001949145.1	Acanthaster planci
GCA_034779955.1	Acanthis cabaret
GCA_036873505.1	Acanthis flammea
GCF_000695815.1	Acanthisitta chloris
GCA_036630365.1	Acanthiza pusilla
GCA_900312575.1	Acanthochaenus luetkenii
GCA_900537255.1	Acanthocheilonema viteae
GCA_019914995.1	Acanthochlamys bracteata
GCF_021347895.1	Acanthochromis polyacanthus
GCA_031841125.1	Acanthococcus lagerstroemiae
GCF_904848185.1	Acanthopagrus latus
GCA_016165875.1	Acanthopleura granulata
GCA_036785705.1	Acanthornis magna
GCA_963669975.1	Acanthoscelides obtectus
GCA_000661875.1	Acanthoscurria geniculata
GCA_964036315.1	Acanthosepion esculentum
GCA_963932145.1	Acanthosepion lycidas
GCA_903632075.3	Acanthosepion pharaonis
GCA_930367205.1	Acanthosoma haemorrhoidale
GCA_029814675.1	Acanthurus coeruleus
GCA_029814705.1	Acanthurus grammoptilus
GCA_029814765.1	Acanthurus leucopareius
GCA_029814665.1	Acanthurus lineatus
GCA_029814725.1	Acanthurus nigricauda
GCA_029823135.1	Acanthurus reversus
GCA_029783805.1	Acanthurus tennentii
GCA_029783725.1	Acanthurus tractus
GCA_023170135.1	Acarapis woodi
GCF_003144295.1	Acaromyces ingoldii
GCA_025617375.2	Acarospora socialis
GCA_900241095.1	Acartia tonsa
GCA_004114255.1	Acaulopage tetraceros
GCA_910592055.1	Acaulospora colombiana
GCA_910591835.1	Acaulospora morrowiae
GCA_034782255.1	Accipiter badius
GCA_024222105.1	Accipiter cooperii
GCA_027475485.1	Accipiter fasciatus
GCA_034781495.1	Accipiter minullus
GCA_034782535.1	Accipiter rhodogaster
GCA_027497855.1	Accipiter striatus
GCA_027559655.1	Accipiter superciliosus
GCA_025728005.1	Accipiter virgatus
GCA_943193645.1	Acentria ephemerella
GCA_014904845.1	Acephala macrosclerotiorum
GCA_954870605.1	Acer campestre
GCA_035582765.1	Acer negundo
GCA_030490815.1	Acer saccharum
GCA_008009225.1	Acer yangbiense
GCA_034509495.1	Acestrorhynchus altus
GCA_031001845.1	Achaetomiella virescens
GCA_033296875.1	Achaetomium macrosporum
GCA_009760885.1	Achatina immaculata
GCA_031308135.1	Acheta domesticus
GCA_000988765.1	Achipteria coleoptrata
GCA_034698525.1	Achipteria nitens
GCA_947623365.1	Achlya flavicornis
GCA_002081595.1	Achlya hypogyna
GCA_949317995.1	Acholoe squamosa
GCA_029874615.1	Achondrostoma oligolepis
GCF_030625045.1	Achroia grisella
GCA_030579395.1	Aciculoconidium aculeatum
GCA_000222935.2	Aciculosporium take
GCA_019670975.1	Acidiella bohemica
GCA_003545705.1	Acidomyces sp. 'richmondensis'
GCF_027475565.1	Acinonyx jubatus
GCA_024762115.1	Acipenser gueldenstaedtii
GCA_030684275.1	Acipenser oxyrinchus
GCF_902713425.1	Acipenser ruthenus
GCA_020113195.1	Acipenser transmontanus
GCA_948252455.1	Acleris cristana
GCA_927399475.2	Acleris emargana
GCA_949316455.1	Acleris holmiana
GCA_963966035.1	Acleris laterana
GCA_946894065.1	Acleris literana
GCA_923062465.1	Acleris sparsana
GCA_030819835.1	Acmispon strigosus
GCA_907164435.1	Acomys dimidiatus
GCA_907164505.1	Acomys kempi
GCA_907169655.1	Acomys percivali
GCF_903995435.1	Acomys russatus
GCA_030737845.1	Acorus calamus
GCA_030737835.1	Acorus gramineus
GCA_026419775.2	Acrasis kona
GCA_035041075.1	Acraspis erinacei
GCA_037013685.1	Acridotheres tristis
GCA_963555685.1	Acrobasis consociella
