species_name,assembly_ids
Agrobacterium burrii,GCA_017313405.1;GCA_976989045.1
Agrobacterium cucumeris,GCA_030036535.1;GCA_056032865.1;GCA_056032885.1;GCA_056032905.1
Agrobacterium deltae,GCA_003610845.1;GCA_003931535.1;GCA_019511265.1;GCA_042195535.1;GCA_042267745.1;GCA_042750365.1;GCA_042796195.1;GCA_044772245.1;GCA_050971745.1;GCA_052261235.1;GCA_053616835.1;GCA_053617935.1
Agrobacterium deltaense,GCA_900012585.1;GCA_900013505.1;GCA_900013515.1
Agrobacterium fabacearum,GCA_000442985.1;GCA_900012575.1;GCA_900014385.1;GCA_900039255.1
Agrobacterium radiobacter,GCA_000421945.1;GCA_001541305.1;GCA_002008215.1;GCA_008801385.1;GCA_011684005.1;GCA_013317795.2;GCA_014197895.1;GCA_014197995.1;GCA_014198055.1;GCA_014198065.1;GCA_014198165.1;GCA_014198255.1;GCA_014198395.1;GCA_014198435.1;GCA_014198455.1;GCA_014198495.1;GCA_014198505.1;GCA_014198555.1;GCA_014198595.1;GCA_014198635.1;GCA_014200255.1;GCA_040427025.1;GCA_040676355.1;GCA_040801925.1;GCA_040801995.1;GCA_049546465.1;GCA_049847435.1;GCA_049847465.1;GCA_049847485.1;GCA_049847585.1;GCA_049847605.1;GCA_049847645.1;GCA_049847665.1;GCA_049904605.1;GCA_052044525.1;GCA_052044675.1;GCA_052045365.1;GCA_054788375.1;GCA_057529205.1;GCA_963360635.1;GCA_965137755.1
Agrobacterium tomkonis,GCA_020215445.1;GCA_020215465.1;GCA_020215515.1;GCA_020218025.1;GCA_020218035.1;GCA_056935535.1;GCA_900013535.1
Agrobacterium vacciniicorymbosi,GCA_040427045.1;GCA_056392075.1;GCA_056392595.1
Brenneria corticis,GCA_003115855.1
Brenneria izbisi,GCA_025840185.1;GCA_025840205.1
Brenneria populi,GCA_036016195.1;GCA_036016275.1;GCA_040240225.1;GCA_040240295.1
Brenneria tiliae,GCA_023347555.1;GCA_023347575.1;GCA_023347585.1
Brenneria uluponensis,GCA_032395385.1;GCA_056269725.1
Clavibacter davisi,GCA_047532755.1;GCA_047532835.1;GCA_052606105.1;GCA_052751415.1
Clavibacter quasicaliforniensis,GCA_015351125.1;GCA_051201705.1;GCA_051201715.1
Clavibacter rahimiani,GCA_047345555.1;GCA_052654495.1
Clavibacter seminis,GCA_000698005.1;GCA_021919125.1
Clavibacter vidaverae,GCA_047529985.1
Erwinia aeris,GCA_041224955.1
Erwinia artemisiae,GCA_051400835.1
Erwinia haradaeae,GCA_900143135.1;GCA_900698855.1;GCA_900698875.1;GCA_900698885.1;GCA_900698925.1;GCA_900698935.1;GCA_900698955.1;GCA_900698965.1;GCA_900698985.1;GCA_900698995.1;GCA_900699015.1
Erwinia impunctatus,GCA_964016415.1
Erwinia magellanica,GCA_039023495.1
Erwinia papayae,GCA_040741485.1
Erwinia plantamica,GCA_043420595.1
Erwinia psychrophila,GCA_039023475.1
Erwinia pyri,GCA_030758455.1
Erwinia wuhanensis,GCA_030484085.1
Liberibacter brunswickensis,GCA_036858155.1
