assembly_id,organism_name,is_fungi,match_method,genbank_group,assembly_level,genbank_assembly_accession,refseq_paired_assembly,genbank_organism_name
GCA_000359685.2,Pyrenochaeta sp. UM 256,Y,assembly_exact,fungi,Scaffold,GCA_000359685.2,na,Pyrenochaeta sp. UM 256
GCA_000733025.2,Penicillium nordicum,Y,assembly_versionless,fungi,Scaffold,GCA_000733025.3,na,Penicillium nordicum
GCA_000733645.1,Beauveria rudraprayagi,Y,assembly_exact,fungi,Contig,GCA_000733645.1,na,Beauveria rudraprayagi
GCA_000827315.1,Piloderma croceum,Y,assembly_exact,fungi,Scaffold,GCA_000827315.1,na,Piloderma croceum F 1598
GCA_000950635.1,Mrakia blollopis,Y,assembly_exact,fungi,Contig,GCA_000950635.1,na,Mrakia blollopis
GCA_001599115.1,[Candida] sorboxylosa,Y,assembly_exact,fungi,Scaffold,GCA_001599115.1,na,Pichia sorboxylosa
GCA_001630435.1,Sporothrix globosa,Y,assembly_exact,fungi,Scaffold,GCA_001630435.1,na,Sporothrix globosa
GCA_002946385.1,Rutstroemia sp. NJR-2017a WRK4,Y,assembly_exact,fungi,Contig,GCA_002946385.1,na,Rutstroemia sp. NJR-2017a WRK4
GCA_003116535.1,Paecilomyces niveus,Y,assembly_exact,fungi,Scaffold,GCA_003116535.1,na,Paecilomyces niveus
GCA_004114325.1,Zoophagus insidians,Y,assembly_exact,fungi,Scaffold,GCA_004114325.1,na,Zoophagus insidians
GCA_004156025.2,Alternaria gaisen,Y,assembly_exact,fungi,Contig,GCA_004156025.2,na,Alternaria gaisen
GCA_009805295.1,Neurospora sp. FGSC 6877,Y,assembly_exact,fungi,Scaffold,GCA_009805295.1,na,Neurospora sp. FGSC 6877
GCA_009938135.1,Malassezia furfur,Y,assembly_exact,fungi,Complete Genome,GCA_009938135.1,na,Malassezia furfur
GCA_012934285.1,Ophiocordyceps sinensis,Y,assembly_exact,fungi,Contig,GCA_012934285.1,na,Ophiocordyceps sinensis
GCA_014826065.1,Anthracocystis panici-leucophaei,Y,assembly_exact,fungi,Complete Genome,GCA_014826065.1,na,Anthracocystis panici-leucophaei
GCA_014964245.1,Nannizziopsis barbatae,Y,assembly_exact,fungi,Contig,GCA_014964245.1,na,Nannizziopsis barbatae
GCA_017139535.1,Trichocladium uniseriatum,Y,assembly_exact,fungi,Contig,GCA_017139535.1,na,Trichocladium uniseriatum
GCA_018417955.1,Laccaria trichodermophora,Y,assembly_exact,fungi,Scaffold,GCA_018417955.1,na,Laccaria trichodermophora
GCA_019188255.1,Verticillium longisporum,Y,assembly_exact,fungi,Scaffold,GCA_019188255.1,na,Verticillium longisporum
GCA_019327925.1,Leucocoprinus sp. KB1807203,Y,assembly_exact,fungi,Contig,GCA_019327925.1,na,Leucocoprinus sp. KB1807203
GCA_019431265.1,Saccharomyces bayanus,Y,assembly_exact,fungi,Complete Genome,GCA_019431265.1,na,Saccharomyces bayanus
