organism_name,assembly_id,not_trained_reason
Aaosphaeria arxii CBS 175.79,GCA_010015735.1,not_found_in_evo2_fungi
Abortiporus biennis,GCA_047301825.1,not_found_in_evo2_fungi
Absidia sp. YW-2025a,GCA_050656845.1,not_found_in_evo2_fungi
Absidia sp. YW-2025b,GCA_050656855.1,not_found_in_evo2_fungi
Acaromyces ingoldii,GCA_003144295.1,not_found_in_evo2_fungi
Acarospora aff. strigata,GCA_022814355.1,not_found_in_evo2_fungi
Aciculoconidium aculeatum,GCA_003707435.1,not_found_in_evo2_fungi
Acidomyces richmondensis BFW,GCA_001592465.1,not_found_in_evo2_fungi
Acidomyces sp. 'richmondensis',GCA_001572075.1,not_found_in_evo2_fungi
Acremonium polychromum,GCA_054490815.1,not_found_in_evo2_fungi
Acremonium sp. FKII-L8-BK-P5,GCA_020087035.1,not_found_in_evo2_fungi
Actinomortierella ambigua,GCA_015502565.1,not_found_in_evo2_fungi
Actinomortierella ambigua,GCA_015849275.1,not_found_in_evo2_fungi
Actinomortierella wolfii,GCA_016098135.1,not_found_in_evo2_fungi
Actinomucor elegans,GCA_001599635.1,not_found_in_evo2_fungi
Agaricus bisporus,GCA_006228365.1,not_found_in_evo2_fungi
Agaricus bisporus,GCA_008271545.1,not_found_in_evo2_fungi
Agaricus bisporus,GCA_037953735.1,not_found_in_evo2_fungi
Agaricus bisporus,GCA_041430195.1,not_found_in_evo2_fungi
Agaricus bisporus,GCA_043380955.1,not_found_in_evo2_fungi
Agaricus bisporus,GCA_043381075.1,not_found_in_evo2_fungi
Agaricus bisporus,GCA_046056105.1,not_found_in_evo2_fungi
Agaricus bisporus,GCA_046056185.1,not_found_in_evo2_fungi
Agaricus bisporus,GCA_055470795.1,not_found_in_evo2_fungi
Agaricus bisporus var. bisporus,GCA_001682475.1,not_found_in_evo2_fungi
Agaricus bisporus var. bisporus,GCA_006491665.1,not_found_in_evo2_fungi
Agaricus bisporus var. burnettii,GCA_014872705.1,not_found_in_evo2_fungi
Agaricus bisporus var. burnettii JB137-S8,GCA_000300555.1,not_found_in_evo2_fungi
Agaricus bitorquis,GCA_030246685.1,not_found_in_evo2_fungi
Agmasoma carcini (nom. nud.),GCA_029231695.1,not_found_in_evo2_fungi
Agroathelia delphinii,GCA_041475395.1,not_found_in_evo2_fungi
Agroathelia rolfsii,GCA_000961905.2,not_found_in_evo2_fungi
Agroathelia rolfsii,GCA_002940785.1,not_found_in_evo2_fungi
Agroathelia rolfsii,GCA_018343895.1,not_found_in_evo2_fungi
Agroathelia rolfsii,GCA_036172465.1,not_found_in_evo2_fungi
Agroathelia rolfsii,GCA_052928445.1,not_found_in_evo2_fungi
Agrocybe pediades,GCA_015484485.1,not_found_in_evo2_fungi
Agrocybe pediades,GCA_051996695.1,not_found_in_evo2_fungi
Agrocybe striatipes,GCA_051996675.1,not_found_in_evo2_fungi
Agyrium rufum,GCA_022814335.1,not_found_in_evo2_fungi
Akanthomyces attenuatus,GCA_051529075.1,not_found_in_evo2_fungi
Akanthomyces dipterigenus,GCA_030411515.1,not_found_in_evo2_fungi
Akanthomyces dipterigenus,GCA_030779985.1,not_found_in_evo2_fungi
Akanthomyces dipterigenus,GCA_030781665.1,not_found_in_evo2_fungi
Akanthomyces dipterigenus,GCA_030781925.1,not_found_in_evo2_fungi
Akanthomyces dipterigenus,GCA_030782645.1,not_found_in_evo2_fungi
Akanthomyces dipterigenus,GCA_030783265.1,not_found_in_evo2_fungi
Akanthomyces dipterigenus,GCA_030783725.1,not_found_in_evo2_fungi
Akanthomyces dipterigenus,GCA_030783745.1,not_found_in_evo2_fungi
Akanthomyces dipterigenus,GCA_030783805.1,not_found_in_evo2_fungi
Akanthomyces dipterigenus,GCA_030784025.1,not_found_in_evo2_fungi
Akanthomyces dipterigenus,GCA_051527285.1,not_found_in_evo2_fungi
Akanthomyces lecanii,GCA_001653215.1,not_found_in_evo2_fungi
Akanthomyces lecanii,GCA_016170065.1,not_found_in_evo2_fungi
Akanthomyces lecanii,GCA_030411575.1,not_found_in_evo2_fungi
Akanthomyces lecanii,GCA_030772815.1,not_found_in_evo2_fungi
Akanthomyces lecanii,GCA_030780265.1,not_found_in_evo2_fungi
Akanthomyces lecanii,GCA_030781825.1,not_found_in_evo2_fungi
Akanthomyces lecanii,GCA_030783985.1,not_found_in_evo2_fungi
Akanthomyces lecanii,GCA_030785975.1,not_found_in_evo2_fungi
Akanthomyces lecanii,GCA_030789525.1,not_found_in_evo2_fungi
Akanthomyces lecanii,GCA_032354155.1,not_found_in_evo2_fungi
Akanthomyces lecanii,GCA_051527755.1,not_found_in_evo2_fungi
Akanthomyces lecanii,GCA_051529055.1,not_found_in_evo2_fungi
Akanthomyces lecanii,GCA_054134475.1,not_found_in_evo2_fungi
Akanthomyces muscarius,GCA_028009165.1,not_found_in_evo2_fungi
Akanthomyces muscarius,GCA_040955805.1,not_found_in_evo2_fungi
Akanthomyces muscarius,GCA_051527555.1,not_found_in_evo2_fungi
Akanthomyces muscarius,GCA_051529015.1,not_found_in_evo2_fungi
Akanthomyces sp. G78,GCA_051528755.1,not_found_in_evo2_fungi
Akanthomyces uredinophilus,GCA_030783525.2,not_found_in_evo2_fungi
Albifimbria verrucaria,GCA_021442215.1,not_found_in_evo2_fungi
Albophoma yamanashiensis,GCA_051623215.1,not_found_in_evo2_fungi
