organism_name
Aaosphaeria arxii CBS 175.79
Aaosphaeria pasadenensis
Abortiporus biennis
Absidia healeyae
Absidia repens
Absidia sp. UoMAU379
Absidia sp. YW-2025a
Absidia sp. YW-2025b
Acaromyces ingoldii
Acarospora aff. strigata
Acarospora socialis
Acaulopage tetraceros
Acephala macrosclerotiorum
Achaetomiella virescens
Achaetomium macrosporum
Aciculoconidium aculeatum
Aciculosporium take MAFF-241224
Acidiella bohemica
Acidomyces richmondensis BFW
Acidomyces sp. 'richmondensis'
Acremonium polychromum
Acremonium sp. FKII-L8-BK-P5
Acrocalymma vagum
Acrodontium crateriforme
Actinomortierella ambigua
Actinomortierella wolfii
Actinomucor elegans
Aeminium ludgeri
Afroboletus lepidellus
Agaricales sp. HM26-F1
Agaricus bisporus
Agaricus bisporus var. bisporus
Agaricus bisporus var. bisporus H97
Agaricus bisporus var. burnettii
Agaricus bisporus var. burnettii JB137-S8
Agaricus bitorquis
Agaricus blazei
Agaricus sinodeliciosus
Agaricus subrufescens
Agmasoma carcini (nom. nud.)
Agroathelia delphinii
Agroathelia rolfsii
Agrocybe chaxingu
Agrocybe pediades
Agrocybe striatipes
Agyrium rufum
Akanthomyces attenuatus
Akanthomyces dipterigenus
Akanthomyces lecanii
Akanthomyces lecanii RCEF 1005
Akanthomyces muscarius
Akanthomyces sp. G78
Akanthomyces uredinophilus
Albatrellus ellisii
Albatrellus sp. MG142
Albifimbria verrucaria
Albophoma yamanashiensis
Albopleistophora grylli
Alectoria sarmentosa
Allantophomopsis cytisporea
Allantophomopsis lycopodina
Alloascoidea africana
Alloascoidea hylecoeti
Allodekkera sacchari
Allomyces arbusculus
Allomyces javanicus
Allomyces macrogynus ATCC 38327
Alternaria alstroemeriae
Alternaria alternarina
Alternaria alternata
Alternaria angustiovoidea
Alternaria arborescens
Alternaria arborescens EGS 39-128
Alternaria arbusti
Alternaria atra
Alternaria brassicae
Alternaria brassicicola
Alternaria brassicicola ATCC 96836
Alternaria burnsii
Alternaria cf. alternata
Alternaria chlamydospora
Alternaria conjuncta
Alternaria consortialis
Alternaria dauci
Alternaria destruens
Alternaria ethzedia
Alternaria gaisen
Alternaria gansuensis
Alternaria hordeiaustralica
Alternaria incomplexa
Alternaria infectoria
Alternaria linariae
Alternaria longipes
Alternaria metachromatica
Alternaria novae-zelandiae
Alternaria oregonensis
Alternaria panax
Alternaria porri
Alternaria postmessia
Alternaria radicina
Alternaria rosae
Alternaria solani
Alternaria sp. 'sect. Undifilum'
Alternaria sp. ALMS-2024a
Alternaria sp. Ai002NY15
Alternaria sp. BMP 0032
Alternaria sp. BMP 2799
Alternaria sp. DAOMC 225332
Alternaria sp. DET2042
Alternaria sp. DET2072
Alternaria sp. DET2103
Alternaria sp. DET2104
Alternaria sp. DET2105
Alternaria sp. DET2106
Alternaria sp. DET2107
Alternaria sp. KAS5446
Alternaria sp. KAS5449
Alternaria sp. KAS5470
Alternaria sp. KAS5474
Alternaria sp. KAS5477
Alternaria sp. KAS5486
Alternaria sp. KAS5506
Alternaria sp. M3903
Alternaria sp. M3908
Alternaria sp. MG1
Alternaria sp. S3601
Alternaria sp. SPS-2
Alternaria tenuissima
Alternaria triticimaculans
Alternaria triticina
Alternaria ventricosa
Alternaria viburni
Alternosema astaquatica
Alyxoria varia
Amanita bisporigera
Amanita brunnescens Koide BX004
Amanita exitialis
Amanita fuliginea
Amanita inopinata Kibby_2008
Amanita jacksonii TRTC168611
Amanita molliuscula
Amanita muscaria
Amanita muscaria Koide BX008
Amanita muscaria var. guessowii Koide BX008
Amanita pallidorosea
Amanita phalloides
Amanita polypyramis BW_CC
Amanita pseudoporphyria
Amanita rimosa
Amanita rubescens
Amanita subjunquillea
Amanita thiersii Skay4041
Amauroascus niger
Amauroascus verrucosus
Ambrosiella beaveri
Ambrosiella cleistominuta
Ambrosiella roeperi
Ambrosiella xylebori
Ambrosiozyma ambrosiae
Ambrosiozyma angophorae
Ambrosiozyma cicatricosa
Ambrosiozyma kamigamensis
Ambrosiozyma kashinagicola
Ambrosiozyma llanquihuensis
Ambrosiozyma maleeae (nom. inval.)
Ambrosiozyma monospora
Ambrosiozyma neoplatypodis
Ambrosiozyma oregonensis (nom. inval.)
Ambrosiozyma philentoma
Ambrosiozyma platypodis
Ambrosiozyma pseudovanderkliftii
Ambrosiozyma vanderkliftii
Amesomyces nigricolor
Amniculicola lignicola CBS 123094
Amoeboaphelidium occidentale
Amoeboaphelidium protococcarum
Amoeboradix gromovi
Amorphotheca resinae
Amorphotheca resinae ATCC 22711
Ampelomyces quisqualis
Ampelomyces sp. BRIP 72102
Ampelomyces sp. BRIP:72097
Amphiamblys sp. WSBS2006
Amphichorda felina
Amphirosellinia nigrospora
Amylocarpus encephaloides
Amylocystis lapponica
Amyloporia xantha
Amylostereum areolatum
Amylostereum chailletii
Anaeromyces robustus
Anguillospora crassa
Anisogramma anomala
Anncaliia algerae
Anncaliia algerae PRA109
Anncaliia algerae PRA339
Annulohypoxylon bovei var. microspora
