organism_name,assembly_id
Aaosphaeria arxii CBS 175.79,GCA_010015735.1
Aaosphaeria pasadenensis,GCA_022813625.1
Abortiporus biennis,GCA_022606235.1
Abortiporus biennis,GCA_047301825.1
Absidia healeyae,GCA_019677225.1
Absidia repens,GCA_002105175.1
Absidia sp. UoMAU379,GCA_019677255.1
Absidia sp. YW-2025a,GCA_050656845.1
Absidia sp. YW-2025b,GCA_050656855.1
Acaromyces ingoldii,GCA_003144295.1
Acarospora aff. strigata,GCA_022814355.1
Acarospora socialis,GCA_025617375.2
Acaulopage tetraceros,GCA_004114255.1
Acephala macrosclerotiorum,GCA_014904845.1
Achaetomiella virescens,GCA_031001845.1
Achaetomium macrosporum,GCA_033296875.1
Aciculoconidium aculeatum,GCA_003707435.1
Aciculoconidium aculeatum,GCA_030579395.1
Aciculosporium take MAFF-241224,GCA_000222935.2
Acidiella bohemica,GCA_019670975.1
Acidomyces richmondensis BFW,GCA_001592465.1
Acidomyces sp. 'richmondensis',GCA_001572075.1
Acidomyces sp. 'richmondensis',GCA_003545705.1
Acremonium polychromum,GCA_054490815.1
Acremonium sp. FKII-L8-BK-P5,GCA_020087035.1
Acrocalymma vagum,GCA_028476805.1
Acrodontium crateriforme,GCA_033807595.1
Actinomortierella ambigua,GCA_015502565.1
Actinomortierella ambigua,GCA_015849275.1
Actinomortierella ambigua,GCA_016098155.1
Actinomortierella wolfii,GCA_016098105.1
Actinomortierella wolfii,GCA_016098135.1
Actinomucor elegans,GCA_001599635.1
Actinomucor elegans,GCA_026027325.1
Aeminium ludgeri,GCA_004216415.1
Afroboletus lepidellus,GCA_038094355.1
Agaricales sp. HM26-F1,GCA_002718315.1
Agaricus bisporus,GCA_006228365.1
Agaricus bisporus,GCA_008271545.1
Agaricus bisporus,GCA_037953735.1
Agaricus bisporus,GCA_041430195.1
Agaricus bisporus,GCA_043380955.1
Agaricus bisporus,GCA_043381075.1
Agaricus bisporus,GCA_046056105.1
Agaricus bisporus,GCA_046056185.1
Agaricus bisporus,GCA_055470795.1
Agaricus bisporus var. bisporus,GCA_001682475.1
Agaricus bisporus var. bisporus,GCA_006491665.1
Agaricus bisporus var. bisporus H97,GCA_000300575.2
Agaricus bisporus var. burnettii,GCA_014872705.1
Agaricus bisporus var. burnettii JB137-S8,GCA_000300555.1
Agaricus bitorquis,GCA_030246685.1
Agaricus blazei,GCA_029719445.1
Agaricus sinodeliciosus,GCA_022315185.1
