organism_name,assembly_id
Bigelowiella natans,GCA_000002455.1
Trichomonas vaginalis G3,GCA_000002825.3
Eimeria tenella,GCA_000002835.1
Leishmania infantum JPCM5,GCA_000002875.2
Guillardia theta,GCA_000002975.1
Plasmodium yoelii yoelii,GCA_000003085.2
Cryptosporidium hominis TU502,GCA_000006425.2
Hemiselmis andersenii,GCA_000018645.1
Plasmodium falciparum HB3,GCA_000149665.2
Toxoplasma gondii GT1,GCA_000149715.2
Phytophthora ramorum,GCA_000149735.1
Plasmodium falciparum Dd2,GCA_000149795.1
Toxoplasma gondii VEG,GCA_000150015.2
Plasmodium falciparum VS/1,GCA_000150295.1
Plasmodium falciparum Senegal_V34.04,GCA_000150315.1
Plasmodium falciparum RO-33,GCA_000150335.1
Plasmodium falciparum K1,GCA_000150355.1
Plasmodium falciparum FCC-2/Hainan,GCA_000150375.1
Plasmodium falciparum D10,GCA_000150395.1
Plasmodium falciparum D6,GCA_000150415.1
Plasmodium falciparum 7G8,GCA_000150435.3
Plasmodium falciparum Santa Lucia,GCA_000150455.3
Cryptosporidium parvum Iowa II,GCA_000165345.1
Giardia duodenalis ATCC 50581,GCA_000182405.1
Giardia lamblia P15,GCA_000182665.1
Plasmodium falciparum RAJ116,GCA_000186025.2
Plasmodium falciparum IGH-CR14,GCA_000186055.2
Trypanosoma cruzi,GCA_000188675.2
Acanthamoeba castellanii,GCA_000193105.1
Cryptomonas paramaecium,GCA_000194455.1
Cryptosporidium parvum,GCA_000209695.1
Trypanosoma brucei gambiense DAL972,GCA_000210295.1
Toxoplasma gondii RUB,GCA_000224805.2
Toxoplasma gondii TgCATBr9,GCA_000224825.2
Toxoplasma gondii VAND,GCA_000224845.2
Toxoplasma gondii MAS,GCA_000224865.2
Toxoplasma gondii p89,GCA_000224885.2
Toxoplasma gondii FOU,GCA_000224905.2
Nannochloropsis oceanica,GCA_000226695.1
Leishmania donovani,GCA_000227135.2
Trypanosoma vivax Y486,GCA_000227375.1
Trypanosoma congolense IL3000,GCA_000227395.2
Leishmania major strain SD 75.1,GCA_000250755.2
Toxoplasma gondii ARI,GCA_000250965.2
Pseudoperonospora cubensis,GCA_000252605.1
Toxoplasma gondii CAST,GCA_000256705.2
Toxoplasma gondii TgCatPRC2,GCA_000256725.2
Hammondia hammondi,GCA_000258005.2
Toxoplasma gondii TgCATBr5,GCA_000259835.1
Tetrahymena thermophila SB210,GCA_000261185.1
Dictyostelium firmibasis,GCA_000277485.1
Toxoplasma gondii CtCo5,GCA_000278365.1
Leishmania donovani Ld 2001,GCA_000283395.1
Chroomonas mesostigmatica CCMP1168,GCA_000286095.1
Oxytricha trifallax,GCA_000295675.2
Thalassiosira oceanica,GCA_000296195.2
Trypanosoma cruzi marinkellei,GCA_000300495.1
Albugo candida,GCA_000313105.1
Leishmania donovani Ld 39,GCA_000316305.1
Phytophthora lateralis MPF4,GCA_000318465.3
Plasmodium vivax India VII,GCA_000320625.2
Plasmodium vivax Brazil I,GCA_000320645.2
Plasmodium vivax Mauritania I,GCA_000320665.2
Plasmodium vivax North Korean,GCA_000320685.2
Toxoplasma gondii GAB2-2007-GAL-DOM2,GCA_000325525.2
Stylonychia lemnae 2x8/2,GCA_000325865.3
Phytophthora capsici LT1534,GCA_000325885.1
Albugo candida,GCA_000326045.1
Albugo candida,GCA_000326065.1
Hyphochytrium catenoides,GCA_000327025.2
Trypanosoma cruzi strain Esmeraldo,GCA_000327425.1
Leishmania major strain LV39c5,GCA_000331345.1
Trypanosoma cruzi JR cl. 4,GCA_000331405.1
Phytophthora lateralis,GCA_000333055.2
Phytophthora kernoviae 00238/432,GCA_000333075.3
Phytophthora kernoviae 00629/1,GCA_000333095.2
Phytophthora kernoviae 00844/4,GCA_000333115.2
Leptomonas seymouri BHU1095,GCA_000333875.2
Phytophthora ramorum,GCA_000336535.2
Toxoplasma gondii COUG,GCA_000338675.2
Phytophthora lateralis MPF6,GCA_000338795.2
Phytophthora lateralis SMST21,GCA_000338815.2
Entamoeba histolytica KU27,GCA_000338855.1
Leishmania braziliensis MHOM/BR/75/M2903,GCA_000340355.2
Phytophthora ramorum,GCA_000340395.2
Leishmania panamensis MHOM/COL/81/L13,GCA_000340495.1
Entamoeba histolytica HM-1:IMSS-B,GCA_000344925.1
Entamoeba histolytica HM-3:IMSS,GCA_000346345.1
Trypanosoma cruzi Tula cl2,GCA_000365225.1
Entamoeba histolytica HM-1:IMSS-A,GCA_000365475.1
Phytophthora nicotianae P1569,GCA_000365505.1
Phytophthora nicotianae P1976,GCA_000365525.1
Phytophthora nicotianae CJ01A1,GCA_000365545.1
Phytophthora nicotianae P10297,GCA_000367145.1
Globisporangium irregulare DAOM BR486,GCA_000387425.2
Globisporangium iwayamae DAOM BR242034,GCA_000387465.2
Globisporangium ultimum var. sporangiiferum BR650,GCA_000387525.2
Phytopythium vexans DAOM BR484,GCA_000387545.2
Porphyridium purpureum,GCA_000397085.1
Plasmodium falciparum NF54,GCA_000401695.2
Plasmodium falciparum UGT5.1,GCA_000401715.2
Leishmania sp. MAR LEM2494,GCA_000409445.2
Leishmania tropica L590,GCA_000410715.1
Leishmania enriettii,GCA_000410755.2
Badhamia polycephala,GCA_000413255.3
Leishmania amazonensis,GCA_000438535.1
Strigomonas culicis,GCA_000442495.1
Angomonas deanei,GCA_000442575.2
Leishmania aethiopica L147,GCA_000444285.2
Phytophthora kernoviae,GCA_000448265.2
Leishmania donovani,GCA_000470725.1
Angomonas deanei,GCA_000482225.1
Trypanosoma rangeli SC58,GCA_000492115.1
Trypanosoma cruzi Dm28c,GCA_000496795.1
Giardia duodenalis,GCA_000498715.1
Giardia duodenalis,GCA_000498735.1
Naegleria fowleri,GCA_000499105.1
Eimeria praecox,GCA_000499445.1
Plasmodium yoelii 17X,GCA_000505035.1
Phytophthora nicotianae,GCA_000509465.1
Phytophthora nicotianae,GCA_000509485.1
Phytophthora nicotianae,GCA_000509505.1
Phytophthora nicotianae,GCA_000509525.1
Plasmodium falciparum Vietnam Oak-Knoll (FVO),GCA_000521015.1
Plasmodium falciparum MaliPS096_E11,GCA_000521035.1
Plasmodium falciparum Tanzania (2000708),GCA_000521055.1
Plasmodium falciparum NF135/5.C10,GCA_000521075.1
Plasmodium falciparum Palo Alto/Uganda,GCA_000521095.1
Plasmodium falciparum CAMP/Malaysia,GCA_000521115.1
Plasmodium falciparum FCH/4,GCA_000521155.1
Plasmodium vinckei petteri,GCA_000524515.1
Nannochloropsis gaditana,GCA_000569095.1
Plasmodium gaboni,GCA_000576715.1
Chromera velia,GCA_000585135.1
Lotmaria passim,GCA_000635995.1
Phytophthora fragariae,GCA_000686205.4
Lotharella oceanica,GCA_000698435.2
Plasmodium vinckei vinckei,GCA_000709005.1
Babesia bigemina,GCA_000723445.1
Plasmodium reichenowi,GCA_000723685.1
Plasmodium coatneyi,GCA_000725905.1
Blastocystis sp. subtype 4,GCA_000743755.1
Phytophthora pisi,GCA_000751395.2
Leishmania panamensis,GCA_000755165.2
Pythium insidiosum,GCA_000764265.1
Mastigamoeba balamuthi,GCA_000765095.1
Cyclospora cayetanensis,GCA_000769155.2
Phytophthora kernoviae,GCA_000785725.3
Phytophthora kernoviae,GCA_000785735.3
Cryptosporidium hominis,GCA_000804495.1
Acanthamoeba astronyxis,GCA_000826245.1
Acanthamoeba lenticulata,GCA_000826285.1
Acanthamoeba palestinensis,GCA_000826325.1
Acanthamoeba polyphaga,GCA_000826345.1
Acanthamoeba castellanii,GCA_000826485.1
Cryptosporidium sp. chipmunk LX-2015,GCA_000831705.1
Sarcocystis neurona,GCA_000875885.1
Albugo candida,GCA_000961115.1
Blastocystis sp. subtype 2,GCA_000963365.1
Blastocystis sp. subtype 3,GCA_000963385.1
Blastocystis sp. subtype 4,GCA_000963395.1
Blastocystis sp. subtype 8,GCA_000963455.1
Saccharina japonica,GCA_000978595.1
Leishmania sp. AIIMS/LM/SS/PKDL/LD-974,GCA_000981925.2
Pythium insidiosum,GCA_001029375.2
Plasmodiophora brassicae,GCA_001049375.1
Albugo candida,GCA_001078535.1
Balamuthia mandrillaris,GCA_001185145.1
Balamuthia mandrillaris,GCA_001262475.1
Tetmemena sp. SeJ-2015,GCA_001273295.2
Phytophthora ramorum,GCA_001278135.1
Phytophthora ramorum,GCA_001278145.1
Phytophthora ramorum,GCA_001278155.1
Phytophthora ramorum,GCA_001278165.1
Phytophthora ramorum,GCA_001278215.1
Phytophthora ramorum,GCA_001278225.1
Phytophthora ramorum,GCA_001278235.1
Oxytricha trifallax,GCA_001297925.1
Cryptosporidium hominis,GCA_001305325.1
Cryptosporidium parvum,GCA_001305335.1
Cryptosporidium hominis,GCA_001305395.1
Cryptosporidium parvum,GCA_001305415.1
Cryptosporidium parvum,GCA_001305435.1
Cryptosporidium parvum,GCA_001305455.2
Cryptosporidium parvum,GCA_001305475.1
Cyclospora cayetanensis,GCA_001305735.1
Cryptosporidium parvum,GCA_001306235.1
Cryptosporidium parvum,GCA_001306245.1
Albugo candida,GCA_001306755.1
Albugo candida,GCA_001306775.1
Cryptosporidium hominis,GCA_001307845.1
Phytophthora multivora,GCA_001314355.1
Phytophthora cinnamomi,GCA_001314365.1
Phytophthora agathidicida,GCA_001314435.1
Phytophthora agathidicida,GCA_001314445.1
Phytophthora pluvialis,GCA_001314455.1
