organism_name,assembly_id
Abeoforma whisleri,GCA_002812265.1
Acanthamoeba castellanii,GCF_000313135.1
Acanthamoeba comandoni,GCA_002025285.1
Acanthamoeba culbertsoni,GCA_000826265.1
Acanthamoeba divionensis,GCA_000826405.1
Acanthamoeba healyi,GCA_000826305.1
Acanthamoeba lenticulata,GCA_002179805.1
Acanthamoeba lugdunensis,GCA_000826425.1
Acanthamoeba mauritaniensis,GCA_000826465.1
Acanthamoeba pearcei,GCA_000826505.1
Acanthamoeba polyphaga,GCA_001567625.1
Acanthamoeba quina,GCA_000826445.1
Acanthamoeba rhysodes,GCA_000826385.1
Acanthamoeba royreba,GCA_000826365.1
Acanthamoeba sp. SK_2022b,GCA_027943245.1
Acanthamoeba sp. SK_2022c,GCA_027944975.1
Acanthamoeba triangularis,GCA_902749335.1
Achlya hypogyna,GCA_002081595.1
Acrasis kona,GCA_026419775.2
Acytostelium subglobosum,GCF_000787575.1
Aduncisulcus paluster,GCA_024181965.1
Agarophyton chilense,GCA_030374765.1
Alaria marginata,GCA_037833945.1
Albugo candida,GCA_905220665.1
Albugo laibachii,GCA_902706625.1
Amoebophrya sp. A120,GCA_905178155.1
Amoebophrya sp. A25,GCA_905178165.1
Amoebophrya sp. AT5.2,GCA_005223375.1
Amphidinium carterae,GCA_019702695.1
Anaeramoeba flamelloides,GCA_027625915.1
Anaeramoeba ignava,GCA_028826165.1
Andalucia godoyi,GCA_009859145.1
Angomonas ambiguus,GCA_019695575.1
Angomonas deanei,GCA_903995115.1
Angomonas desouzai,GCA_000482185.1
Aphanomyces astaci,GCF_000520075.1
Aphanomyces cochlioides,GCA_019828595.1
Aphanomyces euteiches,GCA_021527685.1
Aphanomyces invadans,GCF_000520115.1
Aphanomyces stellatus,GCA_009835185.1
Ascogregarina taiwanensis,GCA_000172235.1
Asparagopsis taxiformis,GCA_030407315.1
Asterionellopsis glacialis,GCA_014885115.2
Astrammina rara,GCA_000211355.2
Aurantiochytrium sp. KH105,GCA_003116975.1
Aurantiochytrium sp. T66,GCA_001462505.1
Aureococcus anophagefferens,GCF_000186865.1
Babesia bigemina,GCF_000981445.1
Babesia bovis,GCF_000165395.2
Babesia caballi,GCA_024862765.1
Babesia divergens,GCA_001077455.2
Babesia duncani,GCA_028658345.1
Babesia gibsoni,GCA_035575875.1
Babesia microti,GCF_000691945.2
Babesia ovata,GCF_002897235.1
Babesia ovis,GCA_023705535.2
Babesia sp. Xinjiang,GCF_002095265.1
Bacterosira constricta,GCA_037356235.1
Baffinella frigidus,GCA_026770585.1
Balamuthia mandrillaris,GCA_031835245.1
Balantidium ctenopharyngodoni,GCA_036325645.1
Besnoitia besnoiti,GCF_002563875.1
Bigelowiella natans,GCA_000320545.1
Blastocrithidia nonstop,GCA_028554745.1
