organism_name
Abeoforma whisleri
Acanthamoeba astronyxis
Acanthamoeba castellanii
Acanthamoeba castellanii str. Neff
Acanthamoeba comandoni
Acanthamoeba culbertsoni
Acanthamoeba divionensis
Acanthamoeba griffini
Acanthamoeba healyi
Acanthamoeba lenticulata
Acanthamoeba lugdunensis
Acanthamoeba mauritaniensis
Acanthamoeba palestinensis
Acanthamoeba pearcei
Acanthamoeba polyphaga
Acanthamoeba quina
Acanthamoeba rhysodes
Acanthamoeba royreba
Acanthamoeba sp. GP39-C1
Acanthamoeba sp. SK_2022a
Acanthamoeba sp. SK_2022b
Acanthamoeba sp. SK_2022c
Acanthamoeba terricola
Acanthamoeba triangularis
Acanthophora spicifera
Achlya hypogyna
Acrasis kona
Actinocyclus actinochilus
Acytostelium leptosomum
Acytostelium subglobosum LB1
Aduncisulcus paluster
Agarophyton chilense
Alaria marginata
Alaria nana
Albugo candida
Albugo candida 2VRR
Albugo laibachii
Alsidium corallinum
Amoebidium appalachense
Amoebophrya sp. A120
Amoebophrya sp. A25
Amoebophrya sp. AT5.2
Amoebophrya sp. ex Karlodinium veneficum
Amorphochlora amoebiformis
Amphidinium carterae
Amphiroa fragilissima
Anaeramoeba flamelloides
Anaeramoeba ignava
Andalucia godoyi
Angomonas ambiguus
Angomonas deanei
Angomonas desouzai
Aphanomyces astaci
Aphanomyces cochlioides
Aphanomyces euteiches
Aphanomyces invadans
Aphanomyces stellatus
Ascogregarina taiwanensis
Ascophyllum nodosum
Asparagopsis taxiformis
Asterionella formosa
Asterionellopsis glacialis
Asterionellopsis sp. RCC1712
Astrammina rara
Aurantiochytrium acetophilum
Aurantiochytrium limacinum
Aurantiochytrium sp. 10LW
Aurantiochytrium sp. 10W
Aurantiochytrium sp. 8W
Aurantiochytrium sp. 9LR
Aurantiochytrium sp. AURO_iCABeR20
Aurantiochytrium sp. KH105
Aurantiochytrium sp. L3W
Aurantiochytrium sp. T66
Aureococcus anophagefferens
Babesia bigemina
Babesia bovis
Babesia bovis T2Bo
Babesia caballi
Babesia canis rossi
Babesia divergens
Babesia duncani
Babesia gibsoni
Babesia microti
Babesia microti strain RI
Babesia ovata
Babesia ovis
Babesia sp.
Babesia sp. Xinjiang
Bacillariaceae sp.
Bacillariophyta sp.
Bacterosira constricta
Badhamia polycephala
Baffinella frigidus
Balamuthia mandrillaris
Balantidium ctenopharyngodoni
Barthelona sp. PAP020
Barthelona sp. PCE
Besnoitia besnoiti
Bigelowiella natans
Bigelowiella natans CCMP2755
Bilabrum cf. latius
Blastocrithidia frustrata
Blastocrithidia nonstop
Blastocrithidia raabei
Blastocrithidia triatomae
Blastocystis hominis
Blastocystis sp. ATCC 50177/Nand II
Blastocystis sp. BT1
Blastocystis sp. Blastoise
Blastocystis sp. DL
Blastocystis sp. JDR
Blastocystis sp. NMH
Blastocystis sp. subtype 1
Blastocystis sp. subtype 2
Blastocystis sp. subtype 3
Blastocystis sp. subtype 4
Blastocystis sp. subtype 6
Blastocystis sp. subtype 7
Blastocystis sp. subtype 8
Blastocystis sp. subtype 9
Blattamonas nauphoetae
Blechomonas ayalai
Blepharisma japonicum
Blepharisma stoltei
Blepharisma undulans
Bodo saltans
Bodo sp.
Bonamia ostreae
Bonnemaisonia californica
Borovskyia barvae
Bostrychia moritziana
Braarudosphaera bigelowii
Bremia lactucae
Breviolum minutum
Breviolum minutum Mf 1.05b.01
Breviolum psygmophilum
Caecitellus pseudoparvulus
Caenomorpha sp.
Cafeteria burkhardae
Cafeteria roenbergensis
Calcidiscus leptoporus
Callophyllis flabellulata
Capsaspora owczarzaki
Capsaspora owczarzaki ATCC 30864
Cardiosporidium cionae
Carpediemonas membranifera
Cavenderia deminutiva
Cavenderia fasciculata
Cercozoa sp. M6MM
Certesia quadrinucleata
Chaetoceros muelleri
Chaetoceros neogracilis
Chaetoceros socialis
Chaetoceros sp.
Chaetoceros tenuissimus
Chlorellidium tetrabotrys
Chloridella minuta
Choanoeca flexa
Chondracanthus exasperatus
Chondria armata
Chondrus crispus
Choristocarpus tenellus
Chromera velia
Chromulina nebulosa
Chromulinospumella sphaerica
Chroomonas mesostigmatica CCMP1168
Chrysochromulina parva
Chrysochromulina tobinii
Chrysoparadoxa australica
Chrysophaeum taylorii
Chrysotila carterae
Cladocopium goreaui
Cladosiphon okamuranus
Cochliopodium minus
Collodictyon triciliatum
Colpoda cucullus
Condylostoma magnum
Conticribra guillardii
Conticribra weissflogii
Corallochytrium limacisporum
Coremiostelium polycephalum
Costaria costata
Craspedostauros australis
Creolimax fragrantissima
Crithidia acanthocephali
Crithidia bombi
Crithidia brevicula
Crithidia expoeki
Crithidia fasciculata
Crithidia mellificae
Crithidia sp. LVH-60A
Crithidia thermophila
Cruzella marina
Cryptomonas baltica
Cryptomonas borealis
Cryptomonas paramaecium
Cryptomonas pyrenoidifera
Cryptosporidium andersoni
Cryptosporidium baileyi
Cryptosporidium bovis
Cryptosporidium canis
Cryptosporidium cuniculus
Cryptosporidium felis
Cryptosporidium hominis
Cryptosporidium hominis TU502
Cryptosporidium meleagridis
Cryptosporidium muris RN66
Cryptosporidium parvum
Cryptosporidium parvum Iowa II
Cryptosporidium proliferans
Cryptosporidium ryanae
