organism_name,assembly_id
Abeoforma whisleri,GCA_002812265.1
Acanthamoeba astronyxis,GCA_000826245.1
Acanthamoeba castellanii,GCA_000193105.1
Acanthamoeba castellanii,GCA_000826485.1
Acanthamoeba castellanii,GCA_021020595.1
Acanthamoeba castellanii,GCA_021020605.1
Acanthamoeba castellanii,GCA_046056115.1
Acanthamoeba castellanii,GCA_903821525.1
Acanthamoeba castellanii,GCA_937900865.1
Acanthamoeba castellanii str. Neff,GCA_000313135.1
Acanthamoeba comandoni,GCA_002025285.2
Acanthamoeba culbertsoni,GCA_000826265.1
Acanthamoeba divionensis,GCA_000826405.1
Acanthamoeba griffini,GCA_046056075.1
Acanthamoeba healyi,GCA_000826305.1
Acanthamoeba lenticulata,GCA_000826285.1
Acanthamoeba lenticulata,GCA_002105255.2
Acanthamoeba lenticulata,GCA_002179805.1
Acanthamoeba lugdunensis,GCA_000826425.1
Acanthamoeba mauritaniensis,GCA_000826465.1
Acanthamoeba palestinensis,GCA_000826325.1
Acanthamoeba pearcei,GCA_000826505.1
Acanthamoeba polyphaga,GCA_000826345.1
Acanthamoeba polyphaga,GCA_001567625.1
Acanthamoeba quina,GCA_000826445.1
Acanthamoeba rhysodes,GCA_000826385.1
Acanthamoeba royreba,GCA_000826365.1
Acanthamoeba sp. GP39-C1,GCA_978143355.1
Acanthamoeba sp. SK_2022a,GCA_027943295.1
Acanthamoeba sp. SK_2022b,GCA_027943245.1
Acanthamoeba sp. SK_2022c,GCA_027944975.1
Acanthamoeba terricola,GCA_046055985.1
Acanthamoeba triangularis,GCA_902749335.1
Acanthophora spicifera,GCA_043090175.1
Achlya hypogyna,GCA_002081595.1
Acrasis kona,GCA_026419775.2
Actinocyclus actinochilus,GCA_056152665.1
Acytostelium leptosomum,GCA_900092245.1
Acytostelium subglobosum LB1,GCA_000787575.2
Aduncisulcus paluster,GCA_024181965.1
Agarophyton chilense,GCA_030374765.1
Agarophyton chilense,GCA_965643885.1
Alaria marginata,GCA_037833945.1
Alaria nana,GCA_040966275.1
Albugo candida,GCA_000313105.1
Albugo candida,GCA_000326045.1
Albugo candida,GCA_000326065.1
Albugo candida,GCA_000961115.1
Albugo candida,GCA_001078535.1
Albugo candida,GCA_001306755.1
Albugo candida,GCA_001306775.1
Albugo candida,GCA_038020745.1
Albugo candida,GCA_040437565.1
Albugo candida,GCA_905220665.1
Albugo candida 2VRR,GCA_020283525.1
Albugo laibachii,GCA_902706625.1
Alsidium corallinum,GCA_980437035.1
Amoebidium appalachense,GCA_963693365.1
Amoebophrya sp. A120,GCA_905178155.1
Amoebophrya sp. A25,GCA_905178165.1
Amoebophrya sp. AT5.2,GCA_005223375.1
Amoebophrya sp. ex Karlodinium veneficum,GCA_047430905.1
Amorphochlora amoebiformis,GCA_054601695.1
Amphidinium carterae,GCA_019702695.1
Amphidinium carterae,GCA_051942585.1
Amphiroa fragilissima,GCA_040437705.1
Anaeramoeba flamelloides,GCA_027625915.1
Anaeramoeba flamelloides,GCA_028892595.1
Anaeramoeba ignava,GCA_028826165.1
Andalucia godoyi,GCA_009859145.1
Angomonas ambiguus,GCA_019695575.1
Angomonas deanei,GCA_000442575.2
Angomonas deanei,GCA_000482225.1
Angomonas deanei,GCA_001659865.1
Angomonas deanei,GCA_903995115.1
Angomonas desouzai,GCA_000482185.1
Aphanomyces astaci,GCA_000520075.1
Aphanomyces astaci,GCA_002197585.2
Aphanomyces astaci,GCA_003546545.1
Aphanomyces astaci,GCA_003546565.1
Aphanomyces astaci,GCA_003546585.1
Aphanomyces astaci,GCA_003546605.1
Aphanomyces astaci,GCA_003546625.1
Aphanomyces astaci,GCA_003546765.1
Aphanomyces astaci,GCA_003546785.1
Aphanomyces astaci,GCA_003546805.1
Aphanomyces astaci,GCA_003546825.1
Aphanomyces astaci,GCA_003666305.1
Aphanomyces astaci,GCA_009835205.1
Aphanomyces astaci,GCA_900243735.1
Aphanomyces cochlioides,GCA_019828595.1
Aphanomyces euteiches,GCA_009835175.1
Aphanomyces euteiches,GCA_021527665.1
Aphanomyces euteiches,GCA_021527685.1
Aphanomyces euteiches,GCA_021527745.1
Aphanomyces euteiches,GCA_021527785.1
Aphanomyces euteiches,GCA_021527805.1
Aphanomyces euteiches,GCA_900312765.1
Aphanomyces euteiches,GCA_963681205.1
Aphanomyces euteiches,GCA_963681215.1
Aphanomyces euteiches,GCA_963681225.1
Aphanomyces euteiches,GCA_963681235.1
Aphanomyces euteiches,GCA_963681245.1
Aphanomyces euteiches,GCA_963681255.1
Aphanomyces euteiches,GCA_963681265.1
Aphanomyces euteiches,GCA_963681275.1
Aphanomyces euteiches,GCA_963681285.1
Aphanomyces euteiches,GCA_963681295.1
Aphanomyces euteiches,GCA_963681305.1
Aphanomyces euteiches,GCA_963681315.1
Aphanomyces euteiches,GCA_963681325.1
Aphanomyces euteiches,GCA_963681335.1
Aphanomyces euteiches,GCA_963681345.1
Aphanomyces euteiches,GCA_963681355.1
Aphanomyces euteiches,GCA_963681365.1
Aphanomyces euteiches,GCA_963681375.1
Aphanomyces euteiches,GCA_963681385.1
Aphanomyces euteiches,GCA_963681395.1
Aphanomyces euteiches,GCA_963681405.1
Aphanomyces euteiches,GCA_963681415.1
Aphanomyces euteiches,GCA_963681425.1
Aphanomyces euteiches,GCA_963681435.1
Aphanomyces euteiches,GCA_963681445.1
Aphanomyces euteiches,GCA_963681455.1
Aphanomyces euteiches,GCA_963681465.1
Aphanomyces euteiches,GCA_963681475.1
Aphanomyces euteiches,GCA_963681485.1
Aphanomyces euteiches,GCA_963681515.1
Aphanomyces euteiches,GCA_963681525.1
Aphanomyces euteiches,GCA_963681555.1
Aphanomyces euteiches,GCA_963681565.1
Aphanomyces euteiches,GCA_963681575.1
Aphanomyces euteiches,GCA_963681585.1
Aphanomyces euteiches,GCA_963681595.1
Aphanomyces euteiches,GCA_963681605.1
Aphanomyces euteiches,GCA_963681615.1
Aphanomyces euteiches,GCA_963681625.1
Aphanomyces euteiches,GCA_963681635.1
Aphanomyces euteiches,GCA_963681645.1
Aphanomyces euteiches,GCA_963681655.1
Aphanomyces euteiches,GCA_963681665.1
Aphanomyces euteiches,GCA_963681675.1
Aphanomyces euteiches,GCA_963681685.1
Aphanomyces euteiches,GCA_963681695.1
Aphanomyces euteiches,GCA_963681705.1
Aphanomyces euteiches,GCA_963681715.1
Aphanomyces euteiches,GCA_963681725.1
Aphanomyces euteiches,GCA_963681735.1
Aphanomyces euteiches,GCA_963681745.1
Aphanomyces euteiches,GCA_963681755.1
Aphanomyces euteiches,GCA_963681765.1
Aphanomyces euteiches,GCA_963681775.1
Aphanomyces euteiches,GCA_963681785.1
Aphanomyces euteiches,GCA_963681795.1
Aphanomyces euteiches,GCA_963681805.1
Aphanomyces euteiches,GCA_963681815.1
Aphanomyces euteiches,GCA_963681825.1
Aphanomyces euteiches,GCA_963681845.1
Aphanomyces euteiches,GCA_963681855.1
Aphanomyces euteiches,GCA_963681865.1
Aphanomyces euteiches,GCA_963681875.1
Aphanomyces euteiches,GCA_963681885.1
Aphanomyces euteiches,GCA_963681895.1
Aphanomyces euteiches,GCA_963681905.1
Aphanomyces euteiches,GCA_963681915.1
Aphanomyces euteiches,GCA_963682615.1
Aphanomyces invadans,GCA_000520115.1
Aphanomyces invadans,GCA_003546525.1
Aphanomyces stellatus,GCA_009835185.1
Aphanomyces stellatus,GCA_900708865.1
Ascogregarina taiwanensis,GCA_000172235.1
Ascophyllum nodosum,GCA_964200345.2
Asparagopsis taxiformis,GCA_018397955.1
Asparagopsis taxiformis,GCA_018397975.1
Asparagopsis taxiformis,GCA_030407315.1
Asterionella formosa,GCA_002256025.1
Asterionellopsis glacialis,GCA_014885115.2
Asterionellopsis sp. RCC1712,GCA_977969985.1
Astrammina rara,GCA_000211355.2
Aurantiochytrium acetophilum,GCA_004332575.1
Aurantiochytrium limacinum,GCA_036850685.1
Aurantiochytrium sp. 10LW,GCA_041155005.1
Aurantiochytrium sp. 10W,GCA_041155025.1
Aurantiochytrium sp. 8W,GCA_041155065.1
Aurantiochytrium sp. 9LR,GCA_041155045.1
Aurantiochytrium sp. AURO_iCABeR20,GCA_047655155.1
Aurantiochytrium sp. KH105,GCA_003116975.1
Aurantiochytrium sp. L3W,GCA_041154985.1
Aurantiochytrium sp. T66,GCA_001462505.1
Aureococcus anophagefferens,GCA_000186865.1
Aureococcus anophagefferens,GCA_021029035.1
Aureococcus anophagefferens,GCA_021029045.1
Aureococcus anophagefferens,GCA_021029115.1
Aureococcus anophagefferens,GCA_037953725.1
Babesia bigemina,GCA_000723445.1
Babesia bigemina,GCA_000981445.1
Babesia bigemina,GCA_018901905.1
Babesia bigemina,GCA_018901925.1
Babesia bovis,GCA_020449125.1
Babesia bovis,GCA_020449135.1
Babesia bovis,GCA_030583055.1
Babesia bovis,GCA_053569505.1
Babesia bovis T2Bo,GCA_000165395.2
Babesia caballi,GCA_024862765.1
Babesia caballi,GCA_053477425.1
Babesia canis rossi,GCA_045269395.1
Babesia divergens,GCA_001077455.2
Babesia divergens,GCA_018398725.1
Babesia duncani,GCA_024586265.1
Babesia duncani,GCA_028658345.1
Babesia gibsoni,GCA_030849525.1
Babesia gibsoni,GCA_035575875.1
Babesia gibsoni,GCA_052818155.1
Babesia microti,GCA_001650055.1
Babesia microti,GCA_001650065.1
Babesia microti,GCA_001650075.1
Babesia microti,GCA_001650105.1
Babesia microti,GCA_001650135.1
Babesia microti,GCA_001650145.1
Babesia microti,GCA_026802255.1
Babesia microti,GCA_026802285.1
Babesia microti,GCA_026802315.1
Babesia microti strain RI,GCA_000691945.2
Babesia ovata,GCA_002897235.1
