genus,organism_name,assembly_id
Alternaria,Alternaria alstroemeriae,GCA_037044435.1
Alternaria,Alternaria alstroemeriae,GCA_053542345.1
Alternaria,Alternaria alternarina,GCA_036971565.1
Alternaria,Alternaria alternata,GCA_001443195.1
Alternaria,Alternaria alternata,GCA_001572055.1
Alternaria,Alternaria alternata,GCA_001642055.1
Alternaria,Alternaria alternata,GCA_001696825.1
Alternaria,Alternaria alternata,GCA_004154755.1
Alternaria,Alternaria alternata,GCA_004634295.1
Alternaria,Alternaria alternata,GCA_009650635.1
Alternaria,Alternaria alternata,GCA_009932595.1
Alternaria,Alternaria alternata,GCA_011420255.1
Alternaria,Alternaria alternata,GCA_011420445.1
Alternaria,Alternaria alternata,GCA_011420565.1
Alternaria,Alternaria alternata,GCA_014154925.1
Alternaria,Alternaria alternata,GCA_014751505.1
Alternaria,Alternaria alternata,GCA_016097525.1
Alternaria,Alternaria alternata,GCA_018104255.1
Alternaria,Alternaria alternata,GCA_020085065.1
Alternaria,Alternaria alternata,GCA_020449105.1
Alternaria,Alternaria alternata,GCA_020736535.1
Alternaria,Alternaria alternata,GCA_020736745.1
Alternaria,Alternaria alternata,GCA_020736755.1
Alternaria,Alternaria alternata,GCA_020736765.1
Alternaria,Alternaria alternata,GCA_020736775.1
Alternaria,Alternaria alternata,GCA_022344125.1
Alternaria,Alternaria alternata,GCA_022344135.1
Alternaria,Alternaria alternata,GCA_022344145.1
Alternaria,Alternaria alternata,GCA_022344155.1
Alternaria,Alternaria alternata,GCA_022344165.1
Alternaria,Alternaria alternata,GCA_022344205.1
Alternaria,Alternaria alternata,GCA_022344225.1
Alternaria,Alternaria alternata,GCA_022344235.1
Alternaria,Alternaria alternata,GCA_022344255.1
Alternaria,Alternaria alternata,GCA_022344265.1
Alternaria,Alternaria alternata,GCA_022344295.1
Alternaria,Alternaria alternata,GCA_022344325.1
Alternaria,Alternaria alternata,GCA_022344335.1
Alternaria,Alternaria alternata,GCA_022344355.1
Alternaria,Alternaria alternata,GCA_022344365.1
Alternaria,Alternaria alternata,GCA_022344405.1
Alternaria,Alternaria alternata,GCA_022344415.1
Alternaria,Alternaria alternata,GCA_022344435.1
Alternaria,Alternaria alternata,GCA_022344465.1
Alternaria,Alternaria alternata,GCA_022344485.1
Alternaria,Alternaria alternata,GCA_022344495.1
Alternaria,Alternaria alternata,GCA_022344505.1
Alternaria,Alternaria alternata,GCA_022344545.1
Alternaria,Alternaria alternata,GCA_022344555.1
Alternaria,Alternaria alternata,GCA_022344575.1
Alternaria,Alternaria alternata,GCA_022344615.1
Alternaria,Alternaria alternata,GCA_022344625.1
Alternaria,Alternaria alternata,GCA_022344635.1
Alternaria,Alternaria alternata,GCA_022344655.1
Alternaria,Alternaria alternata,GCA_022344665.1
Alternaria,Alternaria alternata,GCA_022344695.1
Alternaria,Alternaria alternata,GCA_022344705.1
Alternaria,Alternaria alternata,GCA_022344745.1
Alternaria,Alternaria alternata,GCA_022344765.1
Alternaria,Alternaria alternata,GCA_022344775.1
Alternaria,Alternaria alternata,GCA_022344825.1
Alternaria,Alternaria alternata,GCA_022344835.1
Alternaria,Alternaria alternata,GCA_022344855.1
Alternaria,Alternaria alternata,GCA_022344875.1
Alternaria,Alternaria alternata,GCA_022344885.1
Alternaria,Alternaria alternata,GCA_022344895.1
Alternaria,Alternaria alternata,GCA_022344905.1
Alternaria,Alternaria alternata,GCA_022344925.1
Alternaria,Alternaria alternata,GCA_022344955.1
Alternaria,Alternaria alternata,GCA_022344985.1
Alternaria,Alternaria alternata,GCA_022344995.1
Alternaria,Alternaria alternata,GCA_022345075.1
Alternaria,Alternaria alternata,GCA_022345085.1
Alternaria,Alternaria alternata,GCA_022345095.1
Alternaria,Alternaria alternata,GCA_022345105.1
Alternaria,Alternaria alternata,GCA_022345155.1
Alternaria,Alternaria alternata,GCA_022345165.1
Alternaria,Alternaria alternata,GCA_022345175.1
Alternaria,Alternaria alternata,GCA_022345185.1
Alternaria,Alternaria alternata,GCA_022345235.1
Alternaria,Alternaria alternata,GCA_022345245.1
Alternaria,Alternaria alternata,GCA_022345265.1
Alternaria,Alternaria alternata,GCA_022345275.1
Alternaria,Alternaria alternata,GCA_022345285.1
Alternaria,Alternaria alternata,GCA_022345305.1
Alternaria,Alternaria alternata,GCA_022345335.1
Alternaria,Alternaria alternata,GCA_022355435.1
Alternaria,Alternaria alternata,GCA_023079285.1
Alternaria,Alternaria alternata,GCA_029891365.1
Alternaria,Alternaria alternata,GCA_039700775.1
Alternaria,Alternaria alternata,GCA_039700845.1
Alternaria,Alternaria alternata,GCA_040783835.1
Alternaria,Alternaria alternata,GCA_046563045.1
Alternaria,Alternaria alternata,GCA_047716545.1
Alternaria,Alternaria alternata,GCA_049724635.1
Alternaria,Alternaria alternata,GCA_049724695.1
Alternaria,Alternaria alternata,GCA_049859505.1
Alternaria,Alternaria alternata,GCA_050710565.1
Alternaria,Alternaria alternata,GCA_050710675.1
Alternaria,Alternaria alternata,GCA_050710795.1
Alternaria,Alternaria alternata,GCA_050711485.1
Alternaria,Alternaria alternata,GCA_051107835.1
Alternaria,Alternaria alternata,GCA_051107855.1
Alternaria,Alternaria alternata,GCA_051107875.1
Alternaria,Alternaria alternata,GCA_051107895.1
Alternaria,Alternaria alternata,GCA_051107915.1
Alternaria,Alternaria alternata,GCA_051107955.1
Alternaria,Alternaria alternata,GCA_054051525.1
Alternaria,Alternaria alternata,GCA_054126945.1
Alternaria,Alternaria alternata,GCA_055084135.1
Alternaria,Alternaria alternata,GCA_055769695.1
Alternaria,Alternaria alternata,GCA_055769715.1
Alternaria,Alternaria alternata,GCA_055769815.1
Alternaria,Alternaria angustiovoidea,GCA_022814425.1
Alternaria,Alternaria angustiovoidea,GCA_022814545.1
Alternaria,Alternaria arborescens,GCA_004154815.1
Alternaria,Alternaria arborescens,GCA_004154835.1
Alternaria,Alternaria arborescens,GCA_004155955.1
Alternaria,Alternaria arborescens,GCA_004634205.1
Alternaria,Alternaria arborescens,GCA_013282825.1
Alternaria,Alternaria arborescens,GCA_020736785.1
Alternaria,Alternaria arborescens,GCA_025426055.1
Alternaria,Alternaria arborescens,GCA_040783815.1
Alternaria,Alternaria arborescens,GCA_040783855.1
Alternaria,Alternaria arborescens,GCA_052110775.1
Alternaria,Alternaria arborescens EGS 39-128,GCA_000256225.1
Alternaria,Alternaria arbusti,GCA_024043155.1
Alternaria,Alternaria arbusti,GCA_040583865.1
Alternaria,Alternaria atra,GCA_004634305.1
Alternaria,Alternaria brassicae,GCA_004936725.1
Alternaria,Alternaria brassicae,GCA_030704915.1
Alternaria,Alternaria brassicae,GCA_030704925.1
Alternaria,Alternaria brassicae,GCA_036768455.1
Alternaria,Alternaria brassicae,GCA_036768465.1
Alternaria,Alternaria brassicicola,GCA_002796735.1
Alternaria,Alternaria brassicicola,GCA_023079265.1
Alternaria,Alternaria brassicicola,GCA_027569035.1
Alternaria,Alternaria brassicicola,GCA_027569655.1
Alternaria,Alternaria brassicicola ATCC 96836,GCA_000174375.1
Alternaria,Alternaria burnsii,GCA_013036055.1
Alternaria,Alternaria burnsii,GCA_021613345.1
Alternaria,Alternaria cf. alternata,GCA_020284155.1
Alternaria,Alternaria chlamydospora,GCA_047302185.1
Alternaria,Alternaria conjuncta,GCA_024043145.1
Alternaria,Alternaria conjuncta,GCA_040584035.1
Alternaria,Alternaria consortialis,GCA_001950455.1
Alternaria,Alternaria dauci,GCA_025504955.1
Alternaria,Alternaria dauci,GCA_042100115.1
Alternaria,Alternaria destruens,GCA_037044395.1
Alternaria,Alternaria ethzedia,GCA_023757985.1
Alternaria,Alternaria ethzedia,GCA_040583925.1
Alternaria,Alternaria gaisen,GCA_004156025.2
Alternaria,Alternaria gaisen,GCA_022345345.1
Alternaria,Alternaria gaisen,GCA_022345375.1
Alternaria,Alternaria gaisen,GCA_022345385.1
Alternaria,Alternaria gaisen,GCA_022345405.1
Alternaria,Alternaria gaisen,GCA_022345445.1
Alternaria,Alternaria gaisen,GCA_022345455.1
Alternaria,Alternaria gaisen,GCA_022345465.1
Alternaria,Alternaria gaisen,GCA_022345485.1
Alternaria,Alternaria gaisen,GCA_022345505.1
Alternaria,Alternaria gaisen,GCA_022345525.1
Alternaria,Alternaria gaisen,GCA_022345565.1
Alternaria,Alternaria gaisen,GCA_022345575.1
Alternaria,Alternaria gaisen,GCA_022345585.1
Alternaria,Alternaria gaisen,GCA_022345615.1
Alternaria,Alternaria gaisen,GCA_022345635.1
Alternaria,Alternaria gaisen,GCA_022345655.1
Alternaria,Alternaria gaisen,GCA_022345675.1
Alternaria,Alternaria gansuensis,GCA_008973795.1
Alternaria,Alternaria gansuensis,GCA_009289805.1
Alternaria,Alternaria hordeiaustralica,GCA_023758085.1
Alternaria,Alternaria incomplexa,GCA_024043165.1
Alternaria,Alternaria infectoria,GCA_024043175.1
Alternaria,Alternaria linariae,GCA_047834895.1
Alternaria,Alternaria longipes,GCA_019059555.1
Alternaria,Alternaria metachromatica,GCA_023757995.1
Alternaria,Alternaria metachromatica,GCA_040583895.1
