# Assembly type counts
# Scaffold,452
# Contig,278
# Chromosome,45
# Complete Genome,44
# N/A,40
#
organism_name,assembly_id,assembly_type
Alternaria alternata,GCF_001642055.1,Scaffold
Alternaria angustiovoidea,GCA_022814545.1,Scaffold
Alternaria arborescens,GCF_004154835.1,Scaffold
Alternaria arbusti,GCF_024043155.1,Scaffold
Alternaria atra,GCF_907166805.1,N/A
Alternaria brassicae,GCA_004936725.1,Chromosome
Alternaria brassicicola,GCA_002796735.1,Contig
Alternaria burnsii,GCF_013036055.1,Scaffold
Alternaria consortialis,GCA_001950455.1,Scaffold
Alternaria dauci,GCA_025504955.1,Contig
Alternaria ethzedia,GCF_023757985.1,Scaffold
Alternaria gaisen,GCA_004156025.2,Contig
Alternaria gansuensis,GCA_009289805.1,Contig
Alternaria infectoria,GCF_024043175.1,Scaffold
Alternaria longipes,GCA_019059555.1,Chromosome
Alternaria metachromatica,GCF_023757995.1,Scaffold
Alternaria panax,GCA_019702505.1,Scaffold
Alternaria solani,GCA_002952155.1,Complete Genome
Alternaria spp.,GCA_001950455.1,Scaffold
Alternaria spp.,GCA_002796735.1,Contig
Alternaria spp.,GCA_002952155.1,Complete Genome
Alternaria spp.,GCA_003574525.1,Scaffold
Alternaria spp.,GCA_004156025.2,Contig
Alternaria spp.,GCA_004156035.1,Contig
Alternaria spp.,GCA_004936725.1,Chromosome
Alternaria spp.,GCA_009289805.1,Contig
Alternaria spp.,GCA_019059555.1,Chromosome
Alternaria spp.,GCA_019702505.1,Scaffold
Alternaria spp.,GCA_020284155.1,Scaffold
Alternaria spp.,GCA_022609215.1,Scaffold
Alternaria spp.,GCA_022814545.1,Scaffold
Alternaria spp.,GCA_023621305.1,Scaffold
Alternaria spp.,GCA_023758005.1,Scaffold
Alternaria spp.,GCA_023758125.1,Scaffold
Alternaria spp.,GCA_023758145.1,Scaffold
Alternaria spp.,GCA_024321975.1,Contig
Alternaria spp.,GCA_025504955.1,Contig
Alternaria spp.,GCF_001642055.1,Scaffold
Alternaria spp.,GCF_004154835.1,Scaffold
Alternaria spp.,GCF_013036055.1,Scaffold
Alternaria spp.,GCF_020736505.1,Contig
Alternaria spp.,GCF_023757985.1,Scaffold
Alternaria spp.,GCF_023757995.1,Scaffold
Alternaria spp.,GCF_023758015.1,Scaffold
Alternaria spp.,GCF_023758025.1,Scaffold
Alternaria spp.,GCF_023758065.1,Scaffold
Alternaria spp.,GCF_023758075.1,Scaffold
Alternaria spp.,GCF_023758085.1,Scaffold
Alternaria spp.,GCF_024043145.1,Scaffold
Alternaria spp.,GCF_024043155.1,Scaffold
Alternaria spp.,GCF_024043165.1,Scaffold
Alternaria spp.,GCF_024043175.1,Scaffold
Alternaria spp.,GCF_024291825.1,Scaffold
Alternaria spp.,GCF_907166805.1,N/A
Alternaria tenuissima,GCA_004156035.1,Contig
Alternaria triticimaculans,GCF_023758025.1,Scaffold
Alternaria triticina,GCA_022609215.1,Scaffold
Alternaria viburni,GCF_023758015.1,Scaffold
Anisogramma anomala,GCA_038502455.1,Scaffold
Armillaria cepistipes,GCA_900157415.1,N/A
