genus,species,assembly_id
Phytophthora,Phytophthora abietivora,GCA_052575295.1
Phytophthora,Phytophthora asiatica,GCA_042082275.1
Phytophthora,Phytophthora attenuata,GCA_042082295.1
Phytophthora,Phytophthora austrocedri,GCA_055305815.1
Phytophthora,Phytophthora austrocedri,GCA_055305935.1
Phytophthora,Phytophthora castanetorum,GCA_014706115.1
Phytophthora,Phytophthora cinnamomi,GCA_001314365.1
Phytophthora,Phytophthora cinnamomi,GCA_001314505.1
Phytophthora,Phytophthora cinnamomi,GCA_002734105.1
Phytophthora,Phytophthora cinnamomi,GCA_002734125.1
Phytophthora,Phytophthora cinnamomi,GCA_018691715.1
Phytophthora,Phytophthora cinnamomi,GCA_020283495.1
Phytophthora,Phytophthora cinnamomi,GCA_024679195.1
Phytophthora,Phytophthora cinnamomi,GCA_029747605.1
Phytophthora,Phytophthora cinnamomi,GCA_042082325.1
Phytophthora,Phytophthora cinnamomi,GCA_050331855.1
Phytophthora,Phytophthora elongata,GCA_042082345.1
Phytophthora,Phytophthora flexuosa,GCA_042082425.1
Phytophthora,Phytophthora formosa,GCA_042082445.1
Phytophthora,Phytophthora gibbosa,GCA_042082505.1
Phytophthora,Phytophthora gregata,GCA_042082525.1
Phytophthora,Phytophthora hedraiandra,GCA_042082605.1
Phytophthora,Phytophthora humicola,GCA_042082705.1
Phytophthora,Phytophthora intricata,GCA_042082625.1
Phytophthora,Phytophthora lilii,GCA_030267725.1
Phytophthora,Phytophthora lilii,GCA_042082685.1
Phytophthora,Phytophthora litoralis,GCA_042082645.1
Phytophthora,Phytophthora medicaginis,GCA_056364845.1
Phytophthora,Phytophthora nagaii,GCA_042082865.1
Phytophthora,Phytophthora oleae,GCA_046127205.1
Phytophthora,Phytophthora ornamentata,GCA_042082885.1
Phytophthora,Phytophthora pseudolactucae,GCA_042083055.1
Phytophthora,Phytophthora rosacearum,GCA_042082915.1
Phytophthora,Phytophthora rosacearum,GCA_975902205.1
Phytophthora,Phytophthora versiformis,GCA_014706215.1
Pythium,Pythium amasculinum,GCA_023337905.1
Pythium,Pythium cedri,GCA_040581585.1
Pythium,Pythium hydnosporum,GCA_023336225.1
Pythium,Pythium lycopersici,GCA_023336105.1
Pythium,Pythium ornamentatum,GCA_023336015.1
Pythium,Pythium porphyrae,GCA_023335885.1
Pythium,Pythium torulosum,GCA_023334615.1
